russian,polish,type,tense,subject,preposition
,,,,,
вчера,wczoraj,time,past,,
позавчера,przedwczoraj,time,past,,
два часа назад,dwie godziny temu,time,past,,
утром,rano,time,past,,
вечером,wieczorem,time,past,,
днем,po południu,time,past,,
после обеда,po południu,time,past,,
только что,dopiero co,time,past,,
,,,,,
сегодня,dzisiaj,time,present,,
сейчас,teraz,time,present,,
в эту минуту,obecnie,time,present,,
,,,,,
завтра,jutro,time,future,,
послезавтра,pojutrze,time,future,,
после обеда,po południu,time,future,,
на следующей неделе,w następnym tygodniu,time,future,,
в шесть часов вечера,o szóstej wieczorem,time,future,,
вечером,wieczorem,time,future,,
завтра утром,jutro rano,time,future,,
после работы,po prace,time,future,,
,,,,,
я,,person,,i,
ты,,person,,you,
он,,person,,he,
парень,facet,person,,he,
она,,person,,she,
девушка,kobieta,person,,she,
дитя,dziecko,person,,it,
мы,,person,,we/m,
мы,,person,,we/f,
вы,,person,,you/m,
вы,,person,,you/f,
они,,person,,they/m,
мужчины,mężczyźni,person,,they/m,
они,,person,,they/f,
женщины,kobiety,person,,they/f,
,,,,,
пришел,przyszedłem,action/walking,past,i,inside
пришел,przyszedłeś,action/walking,past,you,inside
пришел,przyszedł,action/walking,past,he,inside
пришла,przyszła,action/walking,past,she,inside
пришло,przyszło,action/walking,past,it,inside
пришли,przyszliśmy,action/walking,past,we/m,inside
пришли,przyszłyśmy,action/walking,past,we/f,inside
пришли,przyszliście,action/walking,past,you/m,inside
пришли,przyszłyście,action/walking,past,you/f,inside
пришли,przyszli,action/walking,past,they/m,inside
пришли,przyszły,action/walking,past,they/f,inside
,,,,,
вошел,wszedłem,action/walking,past,i,inside
вошел,wszedłeś,action/walking,past,you,inside
вошел,wszedł,action/walking,past,he,inside
вошла,weszła,action/walking,past,she,inside
вошло,weszło,action/walking,past,it,inside
вошли,weszliśmy,action/walking,past,we/m,inside
вошли,weszłyśmy,action/walking,past,we/f,inside
вошли,weszliście,action/walking,past,you/m,inside
вошли,weszłyście,action/walking,past,you/f,inside
вошли,weszli,action/walking,past,they/m,inside
вошли,weszły,action/walking,past,they/f,inside
,,,,,
прибежал,przybiegłem,action/walking,past,i,inside
прибежал,przybiegłeś,action/walking,past,you,inside
прибежал,przybiegł,action/walking,past,he,inside
прибежала,przybiegła,action/walking,past,she,inside
прибежало,przybiegło,action/walking,past,it,inside
прибежали,przybiegliśmy,action/walking,past,we/m,inside
прибежали,przybiegłyśmy,action/walking,past,we/f,inside
прибежали,przybiegliście,action/walking,past,you/m,inside
прибежали,przybiegłyście,action/walking,past,you/f,inside
прибежали,przybiegli,action/walking,past,they/m,inside
прибежали,przybiegły,action/walking,past,they/f,inside
,,,,,
приехал,przyjechałem,action/walking,past,i,inside
приехал,przyjechałeś,action/walking,past,you,inside
приехал,przyjechał,action/walking,past,he,inside
приехала,przyjechała,action/walking,past,she,inside
приехало,przyjechało,action/walking,past,it,inside
приехали,przyjechaliśmy,action/walking,past,we/m,inside
приехали,przyjechałyśmy,action/walking,past,we/f,inside
приехали,przyjechaliście,action/walking,past,you/m,inside
приехали,przyjechałyście,action/walking,past,you/f,inside
приехали,przyjechali,action/walking,past,they/m,inside
приехали,przyjechały,action/walking,past,they/f,inside
,,,,,
прилетел,przyleciałem,action/walking,past,i,inside
прилетел,przyleciałeś,action/walking,past,you,inside
прилетел,przyleciał,action/walking,past,he,inside
прилетела,przyleciała,action/walking,past,she,inside
прилетело,przyleciało,action/walking,past,it,inside
прилетели,przylecieliśmy,action/walking,past,we/m,inside
прилетели,przyleciałyśmy,action/walking,past,we/f,inside
прилетели,przylecieliście,action/walking,past,you/m,inside
прилетели,przyleciałyście,action/walking,past,you/f,inside
прилетели,przylecieli,action/walking,past,they/m,inside
прилетели,przyleciały,action/walking,past,they/f,inside
,,,,,
опоздал,spóżniłem się,action/walking,past,i,inside
опоздал,spóżniłeś się,action/walking,past,you,inside
опоздал,spóżnił się,action/walking,past,he,inside
опоздала,spóżniła się,action/walking,past,she,inside
опоздало,spóżniło się,action/walking,past,it,inside
опоздали,spóżniliśmy się,action/walking,past,we/m,inside
опоздали,spóżniłyśmy się,action/walking,past,we/f,inside
опоздали,spóżniliście się,action/walking,past,you/m,inside
опоздали,spóżniłyście się,action/walking,past,you/f,inside
опоздали,spóżnili się,action/walking,past,they/m,inside
опоздали,spóżniły się,action/walking,past,they/f,inside
,,,,,
вышел,wyszedłem,action/walking,past,i,from-inside
вышел,wyszedłeś,action/walking,past,you,from-inside
вышел,wyszedł,action/walking,past,he,from-inside
вышла,wyszła,action/walking,past,she,from-inside
вышло,wyszło,action/walking,past,it,from-inside
вышли,wyszliśmy,action/walking,past,we/m,from-inside
вышли,wyszłyśmy,action/walking,past,we/f,from-inside
вышли,wyszliście,action/walking,past,you/m,from-inside
вышли,wyszłyście,action/walking,past,you/f,from-inside
вышли,wyszli,action/walking,past,they/m,from-inside
вышли,wyszły,action/walking,past,they/f,from-inside
,,,,,
убежал,uciekłem,action/walking,past,i,from-inside
убежал,uciekłeś,action/walking,past,you,from-inside
убежал,uciekł,action/walking,past,he,from-inside
убежала,uciekła,action/walking,past,she,from-inside
убежало,uciekło,action/walking,past,it,from-inside
убежали,uciekliśmy,action/walking,past,we/m,from-inside
убежали,uciekłyśmy,action/walking,past,we/f,from-inside
убежали,uciekliście,action/walking,past,you/m,from-inside
убежали,uciekłyście,action/walking,past,you/f,from-inside
убежали,uciekli,action/walking,past,they/m,from-inside
убежали,uciekły,action/walking,past,they/f,from-inside
,,,,,
вернулся,wróciłem,action/walking,past,i,inside
вернулся,wróciłeś,action/walking,past,you,inside
вернулся,wrócił,action/walking,past,he,inside
вернулась,wróciła,action/walking,past,she,inside
вернулось,wróciło,action/walking,past,it,inside
вернулись,wróciliśmy,action/walking,past,we/m,inside
вернулись,wróciłyśmy,action/walking,past,we/f,inside
вернулись,wróciliście,action/walking,past,you/m,inside
вернулись,wróciłyście,action/walking,past,you/f,inside
вернулись,wrócili,action/walking,past,they/m,inside
вернулись,wróciły,action/walking,past,they/f,inside
,,,,,
подошел,podszedłem,action/walking,past,i,close-to
подошел,podszedłeś,action/walking,past,you,close-to
подошел,podszedł,action/walking,past,he,close-to
подошла,podeszła,action/walking,past,she,close-to
подошло,podeszło,action/walking,past,it,close-to
подошли,podeszliśmy,action/walking,past,we/m,close-to
подошли,podeszłyśmy,action/walking,past,we/f,close-to
подошли,podeszliście,action/walking,past,you/m,close-to
подошли,podeszłyście,action/walking,past,you/f,close-to
подошли,podeszli,action/walking,past,they/m,close-to
подошли,podeszły,action/walking,past,they/f,close-to
,,,,,
обошел,obszedłem,action/walking,past,i,place
обошел,obszedłeś,action/walking,past,you,place
обошел,obszedł,action/walking,past,he,place
обошла,obeszła,action/walking,past,she,place
обошло,obeszło,action/walking,past,it,place
обошли,obeszliśmy,action/walking,past,we/m,place
обошли,obeszłyśmy,action/walking,past,we/f,place
обошли,obeszliście,action/walking,past,you/m,place
обошли,obeszłyście,action/walking,past,you/f,place
обошли,obeszli,action/walking,past,they/m,place
обошли,obeszły,action/walking,past,they/f,place
,,,,,
дошел,doszedłem,action/walking,past,i,up-to
дошел,doszedłeś,action/walking,past,you,up-to
дошел,doszedł,action/walking,past,he,up-to
дошла,doszła,action/walking,past,she,up-to
дошло,doszło,action/walking,past,it,up-to
дошли,doszliśmy,action/walking,past,we/m,up-to
дошли,doszłyśmy,action/walking,past,we/f,up-to
дошли,doszliście,action/walking,past,you/m,up-to
дошли,doszłyście,action/walking,past,you/f,up-to
дошли,doszli,action/walking,past,they/m,up-to
дошли,doszły,action/walking,past,they/f,up-to
,,,,,
отошел,odszedłem,action/walking,past,i,from-outside
отошел,odszedłeś,action/walking,past,you,from-outside
отошел,odszedł,action/walking,past,he,from-outside
отошла,odeszła,action/walking,past,she,from-outside
отошло,odeszło,action/walking,past,it,from-outside
отошли,odeszliśmy,action/walking,past,we/m,from-outside
отошли,odeszłyśmy,action/walking,past,we/f,from-outside
отошли,odeszliście,action/walking,past,you/m,from-outside
отошли,odeszłyście,action/walking,past,you/f,from-outside
отошли,odeszli,action/walking,past,they/m,from-outside
отошли,odeszły,action/walking,past,they/f,from-outside
,,,,,
магазин,sklep,place,,,place
в магазин,do sklepu,place,,,inside
из магазина,ze sklepu,place,,,from-inside
к магазину,do sklepu,place,,,close-to
до магазина,do sklepu,place,,,up-to
от магазина,od sklupu,place,,,from-outside
,,,,,
кафе,kawiarnię,place,,,place
в кафе,do kawiarni,place,,,inside
из кафе,z kawiarni,place,,,from-inside
к кафе,do kawiarni,place,,,close-to
до кафе,do kawiarni,place,,,up-to
от кафе,od kawiarni,place,,,from-outside
,,,,,
,,,,,
работу,pracę,place,,,place
на работу,do pracy,place,,,inside
с работы,z pracy,place,,,from-inside
к работе,do pracy,place,,,close-to
до работы,do pracy,place,,,up-to
от работы,od pracy,place,,,from-outside
,,,,,
вокзал,dworzec,place,,,place
на вокзал,do dworca,place,,,inside
с вокзала,z dworca,place,,,from-inside
к вокзалу,do dworca,place,,,close-to
до вокзала,do dworca,place,,,up-to
от вокзала,od dworca,place,,,from-outside
,,,,,
офис,biuro,place,,,place
в офис,do biura,place,,,inside
из офиса,z biura,place,,,from-inside
к офису,do biura,place,,,close-to
до офиса,do biura,place,,,up-to
от офиса,ob biura,place,,,from-outside
